# time, velocity, voltage, acceleration, goal, lastError
24.350000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.360000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.370000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.380000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.390000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.400000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.410000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.420000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.430000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.440000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.450000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.460000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.470000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.480000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.490000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.500000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.510000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.520000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.530000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.540000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.550000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.560000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.570000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.580000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.590000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.600000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.610000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.620000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.630000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.640000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.650000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.660000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.670000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.680000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.690000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.700000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.710000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.720000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.730000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.740000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.750000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.760000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.770000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.780000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.790000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.800000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.810000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.820000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.830000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.840000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.850000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.860000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.870000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.880000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.890000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.900000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.910000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.920000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.930000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.940000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.950000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.960000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.970000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.980000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
24.990000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.000000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.010000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.020000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.030000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.040000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.050000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.060000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.070000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.080000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.090000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.100000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.110000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.120000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.130000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.140000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.150000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.160000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.170000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.180000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.190000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.200000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.210000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.220000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.230000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.240000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.250000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.260000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.270000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.280000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.290000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.300000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.310000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
25.320000, 6.283592, -0.016256, 0.000000, 6.283185, -0.000406
